dataset,method,seed,rank_hv(auditor_fn_violation:accuracy),rank_hv(auditor_fn_violation:auc_prc),rank_hv(auditor_fn_violation:ave_precision_score),rank_hv(auditor_fp_violation:accuracy),rank_hv(auditor_fp_violation:auc_prc),rank_hv(auditor_fp_violation:ave_precision_score),method_nice
student,gerryfair,32400,7.0,2.0,7.0,7.0,2.0,7.0,GerryFair
student,gerryfair_xgb,871,8.0,6.0,8.0,8.0,5.0,7.0,GerryFairGB
student,gerryfair_xgb,1318,8.0,2.0,5.0,7.0,2.0,4.0,GerryFairGB
student,gerryfair_xgb,2917,8.0,8.0,8.0,8.0,5.0,8.0,GerryFairGB
student,gerryfair_xgb,4719,8.0,4.0,6.0,8.0,4.0,6.0,GerryFairGB
student,gerryfair_xgb,4866,8.0,7.0,8.0,8.0,5.0,8.0,GerryFairGB
student,gerryfair_xgb,5740,7.0,3.0,6.0,7.0,3.0,6.0,GerryFairGB
student,gerryfair_xgb,6126,8.0,1.0,6.0,8.0,1.0,6.0,GerryFairGB
student,gerryfair_xgb,6654,8.0,6.0,8.0,8.0,6.0,8.0,GerryFairGB
student,gerryfair_xgb,6832,8.0,7.0,8.0,8.0,5.0,6.0,GerryFairGB
student,gerryfair_xgb,6933,8.0,5.0,7.0,8.0,5.0,7.0,GerryFairGB
student,gerryfair_xgb,7376,7.0,5.0,7.0,7.0,4.0,7.0,GerryFairGB
student,gerryfair_xgb,8233,8.0,4.0,7.0,8.0,5.0,8.0,GerryFairGB
student,gerryfair_xgb,8653,7.0,6.0,8.0,7.0,6.0,7.0,GerryFairGB
student,gerryfair_xgb,9271,8.0,7.0,8.0,8.0,5.0,8.0,GerryFairGB
student,gerryfair_xgb,9292,7.0,3.0,5.0,7.0,3.0,4.0,GerryFairGB
student,gerryfair_xgb,9296,8.0,3.0,7.0,8.0,4.0,8.0,GerryFairGB
student,gerryfair_xgb,9540,8.0,6.0,8.0,8.0,5.0,8.0,GerryFairGB
student,gerryfair_xgb,9675,8.0,3.0,5.0,8.0,3.0,6.0,GerryFairGB
student,gerryfair_xgb,10102,7.0,3.0,7.0,7.0,3.0,7.0,GerryFairGB
student,gerryfair_xgb,10132,8.0,6.0,7.0,8.0,5.0,7.0,GerryFairGB
student,gerryfair_xgb,10197,8.0,4.0,7.0,8.0,3.0,6.0,GerryFairGB
student,gerryfair_xgb,12092,8.0,8.0,8.0,8.0,7.0,8.0,GerryFairGB
student,gerryfair_xgb,12498,8.0,4.0,6.0,8.0,4.0,6.0,GerryFairGB
student,gerryfair_xgb,12669,8.0,4.0,5.0,8.0,3.0,5.0,GerryFairGB
student,gerryfair_xgb,13352,7.5,3.0,7.0,7.0,3.0,7.0,GerryFairGB
student,gerryfair_xgb,14289,8.0,6.0,8.0,8.0,6.0,8.0,GerryFairGB
student,gerryfair_xgb,14724,8.0,5.0,8.0,8.0,5.0,8.0,GerryFairGB
student,gerryfair_xgb,15860,8.0,3.0,5.0,8.0,5.0,7.0,GerryFairGB
student,gerryfair_xgb,16695,8.0,7.0,8.0,8.0,3.0,7.0,GerryFairGB
student,gerryfair_xgb,18313,8.0,4.0,8.0,8.0,4.0,7.0,GerryFairGB
student,gerryfair_xgb,18998,8.0,3.0,3.0,8.0,4.0,4.0,GerryFairGB
student,gerryfair_xgb,19863,8.0,8.0,8.0,8.0,7.0,8.0,GerryFairGB
student,gerryfair_xgb,20300,8.0,2.0,6.0,8.0,3.0,4.0,GerryFairGB
student,gerryfair_xgb,20404,8.0,5.0,7.0,8.0,2.0,6.0,GerryFairGB
student,gerryfair_xgb,21353,8.0,5.0,8.0,8.0,5.0,8.0,GerryFairGB
student,gerryfair_xgb,21924,7.0,6.0,8.0,7.5,6.0,8.0,GerryFairGB
student,gerryfair_xgb,22571,8.0,1.0,7.0,8.0,1.0,7.0,GerryFairGB
student,gerryfair_xgb,22727,8.0,6.0,7.0,8.0,4.0,5.0,GerryFairGB
student,gerryfair_xgb,24284,8.0,1.0,7.0,8.0,1.0,6.0,GerryFairGB
student,gerryfair_xgb,24481,8.0,8.0,8.0,8.0,7.0,8.0,GerryFairGB
student,gerryfair_xgb,25349,8.0,8.0,7.0,8.0,6.0,7.0,GerryFairGB
student,gerryfair_xgb,26311,8.0,3.0,7.0,8.0,4.0,8.0,GerryFairGB
student,gerryfair_xgb,27690,8.0,5.0,8.0,8.0,4.0,4.0,GerryFairGB
student,gerryfair_xgb,28699,8.0,6.0,7.0,8.0,3.0,7.0,GerryFairGB
student,gerryfair_xgb,29198,8.0,7.0,8.0,8.0,4.0,8.0,GerryFairGB
student,gerryfair_xgb,29756,8.0,5.0,8.0,8.0,3.0,8.0,GerryFairGB
student,gerryfair_xgb,29759,8.0,4.0,8.0,8.0,4.0,8.0,GerryFairGB
student,gerryfair_xgb,30132,8.0,6.0,8.0,8.0,6.0,8.0,GerryFairGB
student,gerryfair_xgb,31658,8.0,3.0,8.0,8.0,3.0,8.0,GerryFairGB
student,gerryfair_xgb,32400,8.0,6.0,8.0,8.0,6.0,8.0,GerryFairGB
